Team,Championship ID,Engine Supplier,Brakes Supplier,Fuel Supplier,Materials Supplier,Battery Supplier,Advanced ERS Supplier
2,0,0,6,10,15,79,137
3,0,3,5,11,16,76,137
4,0,0,7,12,17,79,137
5,0,1,5,11,15,78,137
6,0,2,6,10,16,80,137
7,0,4,7,13,18,77,137
8,0,3,8,13,18,76,137
9,0,4,8,12,17,77,137
10,0,1,9,14,19,78,137
11,0,2,9,14,19,80,137
12,1,20,24,28,32,84,140
13,1,20,27,28,32,84,140
14,1,20,25,29,32,84,140
15,1,23,24,29,33,84,140
16,1,22,25,28,33,84,140
17,1,21,25,30,34,84,140
18,1,23,24,29,33,84,140
19,1,21,26,30,35,84,140
20,1,21,27,31,35,84,140
21,1,22,26,31,34,84,140
22,2,38,39,42,45,86,143
23,2,36,39,42,45,86,143
24,2,38,39,43,46,86,143
25,2,36,41,42,45,86,143
26,2,36,40,44,45,86,143
27,2,38,39,42,46,86,143
28,2,38,40,43,46,86,143
29,2,37,41,44,47,86,143
30,2,37,41,43,47,86,143
31,2,37,40,44,47,86,143
32,3,51,52,56,60,88,146
33,3,49,53,56,60,89,146
34,3,50,54,57,62,88,146
35,3,48,52,59,60,88,146
36,3,49,53,56,61,90,146
37,3,50,53,57,61,91,146
38,3,50,52,57,61,90,146
39,3,51,54,58,63,89,146
40,3,48,55,58,63,89,146
41,3,48,55,59,63,91,146
42,4,65,67,70,73,92,149
43,4,64,67,70,73,93,149
44,4,66,68,71,73,92,149
45,4,65,67,72,73,93,149
46,4,64,67,70,74,92,149
47,4,66,68,70,74,94,149
48,4,64,68,71,74,94,149
49,4,65,69,71,75,94,149
50,4,65,69,72,75,93,149
51,4,66,69,72,75,92,149
52,5,102,107,110,114,95,131
53,5,104,106,111,115,95,132
54,5,102,107,110,116,95,130
55,5,103,108,110,114,95,130
56,5,104,109,113,115,95,131
57,5,105,106,112,117,95,132
58,5,118,123,126,127,99,131
59,5,119,121,124,127,99,131
60,5,119,122,124,128,99,131
61,5,120,123,126,128,99,131
62,5,120,122,125,129,99,131
63,5,118,121,125,129,99,131
