Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Engine,Steinmann X,0,1,9.01,2.5,8,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = 0,,20,60,1,2;4,5;2.5,5;6,
Engine,Rossini Velocità,1,3,6.88,4,4,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .1,,20,40,1,5,5,2;6,
Engine,Kitano,2,6,6.46,5,2.5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .175,,20,40,1,6,5,2;5,
Engine,Mersault MK3,3,4,1.36,0.5,1,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = .25,,0,0,1,,,,
Engine,Hammer,4,2,7.31,0.5,8,NA,NA,,,,,,,,,NoseHeight = .25; RearPackage = 0,,4,30,1,,,,
ECU,Micronix Racing,5,1,9.95,NA,NA,1.5,8,,,,,,,,,,NoseHeight = .15; RearPackage = 0,,,1,,,,
ECU,Matsutronics,6,2,8.15,NA,NA,2.5,4,,,,,,,,,,NoseHeight = .05; RearPackage = .1,,,1,2,2.5,,
ECU,JP Race Technology,7,3,5.45,NA,NA,1,4,,,,,,,,,,NoseHeight = .2; RearPackage = .1,,,1,,,,
ECU,Otsuno,8,4,5.45,NA,NA,1.5,3,,,,,,,,,,NoseHeight = .15; RearPackage = .15,,,1,19,5,,
ECU,American Raceware,9,5,3.65,NA,NA,0.5,3,,,,,,,,,,NoseHeight = .25; RearPackage = .15,,,1,13,2.5,,
Fuel,Imperial Petroleum,10,1,8.15,8,1.5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = .15,,,,1,,,,
Fuel,Russian Oil,11,2,5.61,4,2.5,NA,NA,,,,,,,,,NoseHeight = .1; RearPackage = .05,,,,1,16;26,2.5;2.5,,
Fuel,Oceania Energy,12,3,4.76,5,0.5,NA,NA,,,,,,,,,NoseHeight = .05; RearPackage = .25,,,,1,,,,
Fuel,MP,13,4,3.91,3,1.5,NA,NA,,,,,,,,,NoseHeight = .15; RearPackage = .15,,,,1,,,,
Fuel,Norex Oil,14,5,3.05,3,0.5,NA,NA,,,,,,,,,NoseHeight = .15; RearPackage = .25,,,,1,,,,
ChassisMaterials,Tectra Fibres,15,1,15.81,NA,NA,8,1.5,,,,,,,,,,NoseHeight = 0; RearPackage = .15,,,1,,,,
ChassisMaterials,Polymat Group,16,2,9.51,NA,NA,4,2.5,,,,,,,,,,NoseHeight = .1; RearPackage = .05,,,1,,,,
